text,keyword
"강철로 만들어진 창대가 부르르 떨리며 옆으로 밀렸다. 그 창에 다른 흑창수의 창이 얽혔다.
창날을 때린 반동으로 흑저는 한바퀴 옆으로 회전하며 다시 마차 벽을 찼다.
두 흑창수가 자세를 바로잡고 창을 겨눌 때, 흑저는 이미 그들의 머리위에서 떨어져 내리고 있었다.
직선으로 내리쳐지는 좌, 우 박룡수!
파--팍--!
흑저의 얼굴로 피와 뇌수가 섞여 튀었다.
까르르르릉--!
주인을 잃은 두 마리 흑마가 발을 치켜들고 울부짖었다.
흑저는 그 말들의 머리를 밟고 몸을 돌리며 뛰었다. 마차를 잡으려 하는 것이었다.
흑저의 눈에 귀도가 마차에서 떨어지는 광경이 들어온 것은 바로 그때였다.
“잡아!”
흑저는 두 팔을 벌려 몸을 날리는 속도를 줄였다.",격렬
"여섯 중 유일하게 마차에 매달려 막 지붕으로 기어오르던 사내가 급히 몸을 옆으로 굴렸다.
목표를 맞추지 못한 대월은 마차지붕의 한 귀퉁이를 부숴서 날려 버렸다.
한백은 눈이 뒤집힐 정도로 노했다.
귀도가 마차에 대롱대롱 매달려 길바닥에 끌려오는 것을 곁눈으로 봐서 더한지도 몰랐다.
그의 대월이 다시 옆으로 마차지붕 위를 쓸었다.
사내가 몸을 일으켜 대월을 피하며 한백을 향해 협봉도 를 휘둘렀다.
깡--!
한백의 대월이 그 협봉도 를 쳐서 날렸다.
팍--!
푸른 하늘로 붉은 선혈이 튀어 올랐다.",긴박
"중천을 지나는 햇살에 그의 거무튀튀한 칼이 빛나고 있었다.
찢겨진 옷자락 사이로 피는 흐르는데……!
잠시 후, 자욱한 흙먼지가 귀도의 모습을 가려 버렸다.
흑저는 눈을 감아 버렸다.
한백의 눈가에 언뜻 비쳤던 물기를 확인하고 싶지 않아서 였다. 눈물이란 것은 한백에게는 어울리지 않았다.
‘결국은…… 형제였었나?’
귀도와 한백이 형제라는 말을 들은 것이 갑자기 기억에 스쳤다.
‘저마다의 삶에 새겨지는 저마다의 상처……!’
그것을 마지막으로 오후는 조용해졌다.
그러나 소운은 편한 심정이 아니었다.
귀도가 죽어서 그런 것은 아니었다. 귀도는 자신의 능력을 최대한 발휘했고, 소운은 그것으로 만족했다.
그 정도의 인물을 다시 구한다는 것은 어렵긴 하지만 불가능한 것은 아니다.
중요한 것은 아직도 탈출이 완벽하게 성공한 것이 아니라는 점이었다.
“한심하군!”",잔잔
"그런데도 조정에서는 아무런 구휼책(救恤策)도 없이 방관하고, 황제는 환관에 둘러싸여 도사들의 방술(方術)만 탐닉
하고 있어 바야흐로 굶주림에 분노한 농민들이 폭도로 돌변하기 직전의 상황이었다.
한중 지역은 전통적으로 곡창지대(穀倉地帶)로 유명했다.
이곳의 소출(所出)에 강북 의 목숨이 걸려 있다 해도 과언이 아닌데 흑저들이 지나가는 곳마다 황량한 벌판만이 펼
쳐져 있고, 어쩌다 보이는 인가는 주인이 떠나버린 빈집이었다.",우울
"그는 짜증스럽게 중얼거렸다.
“영감이 괜히 쓸데없는 소리를 하는 바람에 배만 더 고프잖소!”
황거지도 뭐라고 더 말을 하려다가 그냥 입을 다물었다. 배가 고픈 것은 그도 마찬가지였던 것이다.
한동안 침묵이 이어졌다.
끝이 보이지 않을 정도로 넓은 벌판이었다.
비가 제대로 왔었다면 이 벌판에 가득 낟가리가 쌓여 있었을 것이다. 그러나 지금은 칼날 같은 바람만이 간혹 보이
는 빈 집과 앙상한 버드나무들을 할퀴고 지나갈 뿐, 사람의 손길이 닿은 흔적은 보이지 않았다.
황거지가 다시 투덜거렸다.
“굶어 죽기 전에 갈증으로 먼저 죽겠다. 수로(水路)는 말라 먼지만 날리고, 그 흔한 우물 하나 보이지 않으니……. 
젠장, 물주 하나 잘못 선택한 죄로 늘그막에 이게 무슨 고생이람!”
엽검영이 멀리 산을 가리켰다.
“저기 보이는 산에 샘이 있지 않을까?”
황거지의 눈이 빛났다.
산이 있으면 샘이 있다. 그리고 아무리 지독한 가뭄이라도 샘은 마르지 않았을지도 몰랐다. 지하에서 솟아오르는 
물이니 말이다.
“가 보자!”",
"그런데도 통비원이 도망가지 않는 것은 흑저가 뒤에 있기 때문이었다.
막강한 무림고수들을 개 패듯 패 죽인 무지막지하게 강한 고수가 뒤에 있는데 무엇이 두려울 것인가!
엽검영을 나포한 도적들이 의기양양하게 다가오더니 그 중 우두머리쯤으로 보이는 중년의 도적이 나서서 말했다.
“네 상전이 이미 꿇었으니 반항하지 않고 짐을 내놓으면 목숨은 부지시켜 주겠다.”
엽검영 혼자 말에 올라타고 나머지는 터덜터덜 걷고 있었으니, 흑저들이 마치 엽검영을 수행하는 하인들같이 보였
던 모양이었다.
통비원은 곤란하다는 듯 고개를 갸우뚱거리다가 엽검영에게 말했다.
“혹시 가진 것이 있으면 줘!”
땅바닥에 넙죽하니 뻗어 있던 엽검영이 고개를 들어 통비원을 보았다. 어이없다는 눈으로 한참을 보더니 한숨을 내
쉬며 말했다.",
"간지러운 곳을 긁을 수 없다는 이 기막힌 고통은 언제나 살의(殺意)와 동시에 찾아오는 것이었다.
간지러운데 긁을 수 없는 머리와, 죄악인 줄 알면서도 치밀어 오르는 이 살의는 해결할 수 없는 모순이었다.
그러나 밤마다 나타나는 꿈은 돌아갈 곳을 보여주고 있었다. 그리고 이 길밖에는 없었다.
죄악이라도 해야만 한다.
머리끝까지 슬그머니 기어올라온 살기!
피에 굶주려 충혈된 눈으로 풍겨지는 간지러움!
이 두 가지는 둘이면서 하나였다.
포기할 수 없는 귀환(歸還)의 꿈!
이 참을 수 없는 모순의 돌파구는 단 하나, 이자를 죽여야 하는 것이다.
눈앞에 버티고 선 이자……!
푸른 장갑을 낀 이 사내를-- !",
"새벽 어스름이 스러져 가고 있는 한겨울 들판을 기차가 달리고 있었다. 밤새 무성하게 돋아난 서릿발로 세상은 싸늘하게 얼어붙어 있었다. 발가벗은 미루나무의 앙상한 잔가지들이 바람에 쓸리며 춥게 떨고, 벼 그루터기들만 남은 들녘은 폐허처럼 황량하기만 했다. 어스름 저편으로 아슴푸레하게 먼 야산도 추위에 웅크린 듯 초라했고, 그 품에 보듬긴 마을은 인적 없이 깊은 적막에 묻혀 있었다.",고요
" 2년 간의 블라인드 데이트(blind  date : 서로의 얼굴을 한 번도  보지 못한 채 
편지로만 데이트를 나누는 것)는 이제 끝이다. 몇 시간 후면,  어느 틈엔가 내 남
자가 되어 버린 고국의 사내 앞에 서게 된다.  그를 처음 만나는 순간 무슨 말을 
건네야 할까. 무슨 말을 해야 2년 동안의  설레임과 원망이 그의 가슴 속으로 고
스란히 파고 들 수 있을까... ... .
  나는 문득 2년 전의 어느 가을날 그로부터 받았던 첫 편지를 떠오린다.
  안녕하십니까.
  고국의 계절은,  시골의 초가 지붕 위에  널어 놓은  고추가  빨갛게 익어가던 
어린 시절의 기억을되살아나게 하는 가을입니다... .. .
  하지만, 초가  지붕 위에서 고추가 익어가기만  한 것이  아니라  힘에 넘치는 
그의 한마디 한마디가 내 가슴속에서 빨갛게 익어가고 있었던 것이다.",달달
"언니와 형부는 한국에서 중견   기업을 경여하고 있는 비즈니스  맨이라며 그
를 소개해주었었다. 하지만, 은행에 근무하면서 늘 대해왔던 것이 비즈니스 맨이
었던  탓인지, 그말은그다지  매력적으로 들리지 않았다. 오히려 나의 관심을 끈 
것은 그가 한국인이라는  사실이었다. 무슨  일이있어도 결혼만큼은 고국의 사내
와 해야한다는 생각을 한 순간도 잊어본 적이 없었으므로.
  나는 진작 그를 만나 보고 싶어했다. 하지만, 그때마다 그는 조금만 더 참아달
라고 했다. 스스로 좀더 완벽한 모습을 갖춘 뒤  나를 맞이하고 싶다는 것이  그 
이유였다. 그랬던 그가  이번에는 만남을 더 이상  미루지 않았다. 그가 늘 말해 
왔던 완벽한 모습이 갖추어진 것일까. 
  그보다는, 이번의 만남조차 미루어진다면 우리가 만날  기회는 영영 사라져 버
리고 말 것임을 그도  잘 알고 있기 때문이다. 이번에도 그가  조금만 더 기다려 
달라는 말을  되풀이했다면, 나는 다른 사람을  소개해 주신 부모님의 뜻을 거역
하기는 힘들었으리라.",기다림
"접견실의 아크릴 칸막이 저편에 서 있는 그의  목소리가  격양된다. 그러나 나
도 결코 물러설 수없다. 내가 최초로 경험하는 부부 싸움인 셈이다. 사랑을 찾아 
혈혈단신으로 차라리 외국 같은 고국에 들어와 가족들도 모르게 기약 없는 남자
와 결혼한 내처지를 생각해서 모든  걸  감싸 주기만했던 그였지만, 자신이 삶과 
죽음의  갈림길에서도  모든 걸 바쳐   헌신했던 조양은이라는 사람을이제 그만 
기억속에서 지워버리라는 말에는 도저히 참을 수 없었던 모양이다.",갈등
"조양은씨가 출고 후  1년 5개월 만에 재구속되었다는  소식으로 TV와 신문이 
떠들썩하다.
  비록 그에게 서운한  감정을 느끼기는 했어도, 나는 그가 이제는  후회없는 삶
을 살아가기를 진심으로  바랐었다.그것은 그를 위해서라기보다는 내  남자를 위
해서 였다. 그것만이 내 남자의 기약 
없는 징역살이가 아주  무의미한 것만은 아니었따는 유일한  위안을 던져 줄 수   
있을 것이기 때문
이었다. 그러나 유일한 위안마저 썩은 지푸라기로 판명됐고, 나는 이제 그의  재
구속이 내 남자에
게 가져다 줄 악영향을 염려해야 하는 어이없는 처지가 되고 만다.",우울
"미네소타는 아니지만 어쨌든 미국 땅을  밟게 되는 것은 내 남자를 만나러 고
국을 찾은 뒤 꼭 5년 만의 일이다. 그  동안 부모님과 형제들이 견딜 수 없이 그
리워질 때마다, 주위의 모든 사람들에게 나와 내  남자의 결혼을 인정받을 수 있
게 되기 전에는 절대 밟지 않으리라며 입술을 깨물었던 미국 땅이다.
  완벽한 모습으로 나를 맞이하겠다던 내 남자의  소망은 소망으로 그쳤지만, 그
는 주위  사람들에게 인정받기 전에는 미국에  들어가지 않겠노라는 내결심만은 
지켜 주었다. 그가  고안해 낸 전기용접기는 생각보다 훨씬 이르게  상품화가 진
행되고 있다. 국외의 한 회사가 독점 생산하기로  하여 이미 계약을 끝마친 상태
다. 그리고 이제 닷새  후면, L.A. 에서 열리게 될 '미국 세계용접기자재  박람회'
에 내 남자를 대신해서 참가하게 된 것이다.  이미 중국, 멕시코, 인도 등의 업체
와 합작 생산을  위한 상담이 활발하게 이루어지고  있는 것으로 미루어 이번의 
박람회를 통해 풍성한 결실을 거둘 수 있을 것으로 확신한다.",아련
"하지만, 나의 바람은 오직 내 남자와 함께 할 날이 어서 다가오는 것뿐이었다. 
법조계의 전문가들이 7년정도가 적정 형량이라고 말하는 죄를 짓고도 '재수없게' 
계엄 군법회의의 서슬에 걸려 삶과 죽음을 수없이 넘나드는 고문을 당하고 사회 
정의 구현이라는 명분아래 무기징역을 선고받아 18년이나 감옥에 세월을 묻어야 
했던 내 남자,  이제 자신의 지난 날들이 얼마나 잘못된  것이었던가를 뼈저리게 
깨닫고 밝은 삶을 이루기 위해  몸부림치는 내남자를 더 이상 가두어 둔다는 것
이 무슨 의미가 있을까. ",희망
"비행기가 고도를 낮추어 가는 것이 느껴지며 이제 곧 L.A. 공항에 도착하리라
는 안내 방송이 기내에  울려 퍼진다. 무심코 내다본 창 밖으로  푸른 바닷가 끝
없이 펼쳐져  있다. 나로하여금 생각보다 일찍  미국 땅을 다시 밟을  수 있도록 
해 준 것은 내 남자의 힘만은 아니었다. 손으로  꼽을 수 없는 많은 분들이 내가 
힘들고 지칠 때 내게  힘이 되어 주셨다. 드넓고 푸른 태평양  위에 고마운 이름
들을 하나씩 써 본다. 동일수  님, 한원식 님, 김태진 님, 강 상무 님, 종수 스님, 
정각 스님, 장무란  님, 제해철 님... ... 그리고  현재 미국에 계시는 연세 많으신 
아버님, 어머님께 제일 미안하고, 내가 성공할  때가지 오래 사시기 바라며, 모든 
가족들이 나로 인해 오랜 세월 동안 받은 아픔과 고통에 대해 미안함을 이 기회
를 통해서 전달하고 싶다.",희망
"나는 우리의  사랑이야기가 저 푸른  바다와도 같은 것이었으면  좋겠다. 온갖 
물줄기들이 서로  어울려 하나가 되는 바다-----  나와 내 남자로 인해  상처를 
받은, 그리고  나와 내 남자에게 상처를  준 모든 사람들(하지만, 그들의  명예를 
위해 실제 이름은 거론할 수 없다. 조양은  씨의 경우에는 어지간한 사람들은 알
고 있을 이름이기에 실명을 거론했을  뿐 그의 명예에 상처를 주고자 하는 의도
는 손톱만큼도 없다.)과 그렇게  어울리고 싶다. 랭보의 시구처럼, 상처없는 영혼
이 어디 있으랴.",감동
"영신은 이제 침대 위로 기어올라갈 기력조차  없었다. 콘크리트 바닥의 냉기가 
그의 등줄기를 파고  들었다. 그러나 그것보다 더 서늘하게 느껴지는  것은 여기
저기에 끊임없이 들려오는  처절한 비명소리였다. 무슨 일인지는 몰라도, 이곳에
서 무사히 빠져나갈  수 없으리라는 것만큼은 이제 분명해진 셈이었다.  아까 방
을 나간 검사는  아마도 영신을 고문할 준비를  단단히 해서 돌아올게 틀림없었
다.
  영신의 온몸은 축 늘어져 있었으나, 그의 신경은  문 밖을 향해 팽팽히 늘어나 
있었다. 그러나 한참이  지나도록 발자국 소리가 다가오지 않자 그의  신경도 그
의 몸처럼 축 늘어지기 시작했다. 점점 흐려지는  그의 의식 속에서 검사의 말이 
이명 처럼 되풀이 되고  있을 뿐이었다. 버텨봤자 너만 골병들고, 결국은 우리가 
시키는 대로 다 하게 돼... ...",공포
"그는 지금까지 숱한  피의자들을 다루어 왔지만, 이 정도의 뭇매에도  기가 꺽
이지 않는자를 이제껏 본적이  없었다. 매에는 장사가 없다고 하지 않았던가. 그
런데 이자는 뭐란 말인가......  그는 방법을 달리하지 않으면 안 되겠다는 결론을 
내리고는, 수사관들과 함께 다시  방을 나섰다. 철문이 거칠게 닫히는 소리는 영
신에게 묘한 승리감을 불러일으켰다. 어차피 반쯤은 목숨을 내놓고 살아온 인생, 
아무 이유없이 무릎을 굻던  않을 거여...... 그는 이를 악물며몸을 일으키려 애썼
다. 그러나 몇 차례씩이나 되풀이 된 소나기  같은 발길질에 짓이겨진 그의 몸뚱
아리는 이미 그의 것이 아니었다. 1미터도  떨어져 있지 않은 침대위에까지 기어
로르는 데는 엄청난  고통을 감수해야 했다. 기름칠을 하지 않아  뻑뻑한 톱니바
퀴처럼, 그가 팔다리의 관절을 움직일때마다 우두둑  하는 소리와 함께 송곳으로 
쿡쿡 찌르는 듯한 통증이 온몸으로 퍼져 갔다.",긴장
"유흥업소의 업주들의 입장에서도  실력이 좋은 주먹쟁이들을 절대적으로 필요하
게 되었다. 유흥업소를  운영하다 보면 크고 작은 골치 아픈  일들이 대추나무에 
연걸리듯, 끊임없이 일어나는 게 보통이었다. 공짜 술을 먹으려 달려드는 동네의 
불량배들, 손님들을 상대로  이것저것 팔러오는 잡상인들, 신체 장애자들을 앞세
워 구걸반, 공갈 반으로 업주와 손님들로부터 돈을 뜯어내려는 앵벌이꾼들, 술에 
취해 행패를 부리는 취객들...... 그런 문제들을 업주가 일일이 나서서 해결한다는 
것은 여러 가지  측면에서 무리가 있었다. 결국,  그들은 그런 골치 아픈 일들을 
처리해 줄 실력자를 필요로 하게 되었고,  주먹쟁이들은 지배인이나 영업부장 따
위의 직함을 가지고 자질구레한 일들을 처리해 주며 그 대가로 영업수익의 일정 
비율을 배분받는 식의 공생 관계가 자연스럽게 형성되었다.",클럽
"영신은 양미간을 찌푸렸다. 영신은 사람 만나기를 별로 내겨하지 않았던 데다, 
평소 창세가 매사에  그다지 야무지지 못하다는 인상을 가지고 있던  그는, 마음 
같아서는 그냥 돌아서고 싶었다. 하지만, 창세의 체면을 생각해서 그냥 수인사나 
나누기로 했다. 창세는 누구냐고 묻는 영신의 말에는  대꾸할 생각도 않은 채 그
를 창가쪽으로 끌고 갔다. 유리창 안으로 가득  쏟아져 들어오는 햇살 탓에 그쪽
에서 당구를 치고 있는 사내들의 얼굴은 잘 보이지 않았다. ",일상
"경포대에서 며칠의 휴가를 끝내고 서울로 돌아오자  마자, 양은의 식구들은 신
사동 사거리  리버사이드호텔 근처에 3층짜리 단독  주택을 얻어 서둘러 이사를 
끝냈다. 잠실의 집은 아파트여서 남의 눈이 여간  신경이 쓰이지 않았을 뿐 아니
라, 어쩌면 경찰의  안테나에 잡히기 시작했을는지도 모를 일이었기 때문이었다. 
뿐만 아니라, 식구들이 모두 한데 모여 운동도  하며 규칙적인 생활을 하는 편이 
활동하기에 훨씬 유리하리라는 판단도 있었다. 그렇게  해야만 항상 적절한 긴장
감을 유지하여 불의의 사고를 미연에 방지할 수 있을 것이었다.
  이삿짐 정리가  대충 끝나자, 양은은  식구들을 모두 한자리에  불러 모아놓고 
일장 연설을 했다.",당당
" 따라서 중동에서는 원칙이 중시된다. 계약관계는 쌍방의 당사자만의 권리 
의무 관계가 아니다. 오히려 신을 정점으로 하는 삼각관계로 이해되어야 한
다. 이슬람이라는 어휘도 신에게 맹종함으로써 신의 뜻에 자신을 맡기고 평
화관계를 지킨다는 뜻이다. 가혹한 자연의 시련 속에서 초인적인 신의 출현
을 갈구하는 아랍인의 의식세계의 일단을 표현하는 신앙관이라고 하겠다.",장엄
"현대측에서는 치열한 경쟁을 예상했었지만 막상 경쟁자는 미국의  안드리
안 몰카사 하나밖에 없었다. 그랬음에도 불구하고 국제입찰의 경험은  부족
하고 공사는 꼭 수주해야 한다는 의욕만 가진 현대건설 입찰팀에서는  발주
처의 예가인 2억 4천만불에도 훨씬 못 미치는 1억 8천 3백만불을  써  넣었
고, 경쟁 상대 회사인 안드리안 몰카사는 현대건설의 4배가  넘는  8억불을 
써 넣었던 것이다.",진지
"뭐니뭐니해도 한국 사람은 김치를 먹어야 힘을 쓸 판인데 김치는  생각도 
못할 처지였다. 배추나 무우는 구경할 수도 없었고 갸베쓰라는 양배추가 더
러 있는데 그것 한 포기를 사기 위해서는 온통 시장바닥을 뒤지고 헤매야만 
했었다. 그나마도 온포기를 내놓고 파는 가게는 없었다. 고작해야 반포기를 
내놓고 쪼개서 근으로 달아 파는데 그 값이 우리 나라의 인삼 값하고  맞먹
었다. ",심각
"그날은 정 주영의 집안이 장마당처럼 떠들썩한 날이다. 아침 일
찍부터 아들들 내외와 손자들. 그리고 동생 내외와 조카들 내외 및 그 종손
들이 차례를 지내러 몰려들기 때문이다.
  그는 자녀가 몇이냐고 물으면 8남 1녀라고 대답했지만 조카가 몇이나  되
고 친손 종손을 합해서 손자는 몇이나 되느냐고 물으면 한참 생각해야 대답
할 수 있었고, 그렇게 하는 대답도 항상 그 숫자는 늘었다 줄었다 하게  마
련이었다. 그도 그럴 것이, 그의 아버지도 6형제나 됐었지만 그도 형제가 8
남매(6남 2녀)였다.
  어느덧 그의 나이 환갑. 자녀 8남 1녀 가운데 맏이 몽필, 둘째 몽구,  세
째 몽근, 그리고 고명딸 경희, 네째 몽우, 다섯째 몽헌이가지는 이미  짝을 
지었고 그 밑으로 아직은 미국에서 유학중인 여섯째 몽준, 일곱째 몽윤, 여
덟째 몽일이는 미혼이었다. 그리고 큰 아우 인영과 둘째  아우  순영한테도 
손자들이 주렁주렁 매달려 있었다. ",훈훈
"그가 신설동 집을 장춘동의 적산집으로 개비했다가 다시  지금의  청운동 
넓은 집으로 이사한 것도 실은 정월 초하루다 추석이다 해서 무슨 때면  온 
집안 식구들이 한데 모이곤 하는데 차츰 집이 좁아져서 나중에는  식구들이 
다 모이면 들어앉을 자리가 없어서였다. 
  오늘처럼 온 집안 식구들이 모여서 북적대는 날이면 그는 새록새록  머리
에 떠오르는 사람이 있었다. 그는 60년대 중반에 독일로 유학을 갔다가  세
상을 떠난 네째 신영이었다. 
  그가 네째 신영에게 거는 기대는 각별했었다 그들 형제는 모두 머리가 좋
은 편이었지만 그 중에서도 신영의 머리는 뛰어나게 명석했다. 대학을 졸업
하자마자 형이 회사에서 같이 일하자는 권유를 마다고 그는 동아일보에  입
사해서 기자로 활약했다.",추억
